,Underlying,Ticker,Type,Expiration,YTE,DTE,Strike,Last,Bid,Ask,Midpoint,Spread,IV,NPV,Delta,Gamma,Theta,AKA
0,88.98999786376953,DELL,Call,2021-04-17,0.0547945205479452,20,40.0,32.0,32.75,33.95,33.35,1.2000000000000028,1.0000000000000003e-05,48.99023126806822,1.0000000366041852,4.975946758547362e-10,-1.095781248544872e-05,DELL210416C00040000
1,88.98999786376953,DELL,Call,2021-04-17,0.0547945205479452,20,45.0,37.79,41.55,46.4,43.974999999999994,4.850000000000001,2.5205115112304686,43.990260035111795,1.000000036604205,4.980766489493647e-10,-1.2327667875961013e-05,DELL210416C00045000
2,88.98999786376953,DELL,Call,2021-04-17,0.0547945205479452,20,50.0,29.69,33.7,38.0,35.85,4.299999999999997,1.0000000000000003e-05,38.99028880215535,1.0000000366042092,4.992231885191567e-10,-1.369752321623291e-05,DELL210416C00050000
3,88.98999786376953,DELL,Call,2021-04-17,0.0547945205479452,20,52.5,32.5,35.05,37.8,36.425,2.75,1.7158217333984376,36.49030318567706,1.0000000366044084,4.961491064937936e-10,-1.4382450958140852e-05,DELL210416C00052500
4,88.98999786376953,DELL,Call,2021-04-17,0.0547945205479452,20,55.0,29.93,32.6,34.9,33.75,2.299999999999997,1.4477566674804687,33.99031756919887,1.0000000366043202,4.967266103462981e-10,-1.5067378656985599e-05,DELL210416C00055000
5,88.98999786376953,DELL,Call,2021-04-17,0.0547945205479452,20,57.5,25.97,30.55,33.1,31.825000000000003,2.5500000000000007,1.0712937060546879,31.490445625391928,1.0000043889970847,1.0984119485598144e-07,-1.590009319448939e-05,DELL210416C00057500
6,88.98999786376953,DELL,Call,2021-04-17,0.0547945205479452,20,60.0,29.27,28.4,30.6,29.5,2.200000000000003,1.0732468212890627,28.990472539484973,1.0000040285128404,8.476790921822573e-07,-1.7370085803384317e-05,DELL210416C00060000
7,88.98999786376953,DELL,Call,2021-04-17,0.0547945205479452,20,62.5,26.1,25.8,27.5,26.65,1.6999999999999993,0.7812521875,26.490506961657747,0.9999941257132396,6.95654484883536e-06,-2.4847990938450946e-05,DELL210416C00062500
8,88.98999786376953,DELL,Call,2021-04-17,0.0547945205479452,20,65.0,23.7,23.45,24.35,23.9,0.9000000000000021,0.8251970605468748,23.990649142911224,0.9999231540566063,4.429158240531426e-05,-6.88743387655677e-05,DELL210416C00065000
9,88.98999786376953,DELL,Call,2021-04-17,0.0547945205479452,20,67.5,18.95,21.0,23.15,22.075,2.1499999999999986,0.8320329296874999,21.491414226009145,0.9995540481761911,0.00021577568529512512,-0.00027628959187848756,DELL210416C00067500
10,88.98999786376953,DELL,Call,2021-04-17,0.0547945205479452,20,70.0,15.1,18.05,19.6,18.825000000000003,1.5500000000000007,0.7534204345703125,18.99485290828353,0.9980653518492524,0.0008218863107618319,-0.0010319886834989779,DELL210416C00070000
11,88.98999786376953,DELL,Call,2021-04-17,0.0547945205479452,20,72.5,12.5,16.15,16.75,16.45,0.6000000000000014,0.543949873046875,16.50736131044227,0.9932813683901336,0.002505475696256184,-0.0031884674846223773,DELL210416C00072500
12,88.98999786376953,DELL,Call,2021-04-17,0.0547945205479452,20,75.0,13.0,13.7,14.2,13.95,0.5,0.44922425781249997,14.044805711295774,0.9807686151703936,0.006240266032165318,-0.008082984094116126,DELL210416C00075000
13,88.98999786376953,DELL,Call,2021-04-17,0.0547945205479452,20,77.5,11.1,11.35,11.75,11.55,0.40000000000000036,0.397466962890625,11.638889844130054,0.9536300966580931,0.012936091516160087,-0.017023271798020077,DELL210416C00077500
14,88.98999786376953,DELL,Call,2021-04-17,0.0547945205479452,20,80.0,8.6,9.05,9.35,9.2,0.29999999999999893,0.3540103662109374,9.341049722566677,0.9040078591722399,0.022688875838960804,-0.030238774960934762,DELL210416C00080000
15,88.98999786376953,DELL,Call,2021-04-17,0.0547945205479452,20,82.5,6.2,6.75,7.0,6.875,0.25,0.309577216796875,7.219047561199553,0.8263762054117121,0.03416717398051614,-0.04596353173612095,DELL210416C00082500
16,88.98999786376953,DELL,Call,2021-04-17,0.0547945205479452,20,85.0,4.85,4.65,4.95,4.800000000000001,0.2999999999999998,0.2951730639648437,5.344260278098785,0.7210785975773017,0.04475797751118169,-0.06057880985957572,DELL210416C00085000
17,88.98999786376953,DELL,Call,2021-04-17,0.0547945205479452,20,87.5,3.0,3.1,3.25,3.175,0.1499999999999999,0.2880930566406249,3.7734460941465087,0.59577195704313,0.05160436614475433,-0.07005850347477006,DELL210416C00087500
18,88.98999786376953,DELL,Call,2021-04-17,0.0547945205479452,20,90.0,1.92,1.87,2.0,1.935,0.1299999999999999,0.28882547119140617,2.5330820088309665,0.46353589112128085,0.0529209079968292,-0.07186197499188914,DELL210416C00090000
19,88.98999786376953,DELL,Call,2021-04-17,0.0547945205479452,20,92.5,1.01,1.06,1.16,1.1099999999999999,0.09999999999999987,0.2924875439453124,1.6134543358513875,0.3385855592222904,0.04873133288943378,-0.06601554107406084,DELL210416C00092500
20,88.98999786376953,DELL,Call,2021-04-17,0.0547945205479452,20,95.0,0.53,0.52,0.6,0.56,0.07999999999999996,0.29053443847656246,0.9742568274712269,0.23194361221377283,0.040639371896535686,-0.05479098692650344,DELL210416C00095000
21,88.98999786376953,DELL,Call,2021-04-17,0.0547945205479452,20,97.5,0.27,0.27,0.33,0.30000000000000004,0.06,0.3012765185546875,0.5577198120558137,0.14908088626265048,0.0309319056401334,-0.041413087661399374,DELL210416C00097500
