Date,AMD,MKT,SMB,HML,RMW,CMA,RF,XsRet,CAPM,CAPMResiduals,FF3,FF3Residuals,FF5,FF5Residuals
2016-05-16,0.0326975158213787,0.009899999999999999,0.002,-0.0023,-0.0007000000000000001,-0.0032,0.001,0.0316975158213787,0.01268946937918964,0.019008046442189057,0.01587444405558093,0.015823071765797767,0.016642096347617756,0.01505541947376094
2016-05-17,0.0,-0.0095,-0.0068000000000000005,0.0062,-0.0013,-0.001,0.001,-0.001,-0.01636458665368331,0.015364586653683308,-0.02590150517866768,0.02490150517866768,-0.023702387167030353,0.022702387167030352
2016-05-18,0.01319259968853359,0.001,0.0014000000000000002,0.009000000000000001,-0.0134,-0.006500000000000001,0.001,0.01219259968853359,-0.000639453233829393,0.012832052922362983,-0.009341209669991484,0.02153380935852507,-0.0027793510131195014,0.014971950701653091
2016-05-19,-0.0182291496894319,-0.0033,-0.0031,-0.0029,0.0037,0.0,0.001,-0.0192291496894319,-0.00707926977719814,-0.012149879912233761,-0.005867012090756535,-0.013362137598675366,-0.006727810643766719,-0.012501339045665184
2016-05-20,0.026525173776789313,0.0075,0.0084,-0.0027,-0.0039000000000000003,-0.0038,0.001,0.02552517377678931,0.009095153168937317,0.016430020607851994,0.014996113386019685,0.010529060390769627,0.01635158022438339,0.00917359355240592
2016-05-23,0.043927669592007224,-0.0018,0.0025,-0.0032,-0.0022,0.0008,0.001,0.04292766959200722,-0.0048328221457904375,0.04776049173779766,-0.0011218489324899342,0.04404951852449716,-0.001508798501353764,0.044436468093360985
2016-05-24,0.03960392300071258,0.0143,0.0060999999999999995,-0.0034000000000000002,-0.0012,-0.0039000000000000003,0.001,0.03860392300071258,0.019279049097985567,0.019324873902727014,0.02532631483821572,0.01327760816249686,0.02598907364336541,0.01261484935734717
2016-05-25,-0.004761900436850985,0.0072,-0.0014000000000000002,0.0058,0.002,-0.0011,0.001,-0.005761900436850985,0.008645863642655776,-0.014407764079506762,0.0023569876692329655,-0.008118888106083952,0.0030853860662364094,-0.008847286503087394
2016-05-26,0.040669876381672854,-0.0004,-0.0016,-0.0053,0.0015,-0.0022,0.001,0.03966987638167285,-0.0027361376898099154,0.04240601407148277,0.0015707408947718835,0.03809913548690097,0.0015702587505561877,0.03809961763111667
2016-05-27,0.057471265627790036,0.0049,0.0034999999999999996,-0.0017000000000000001,-0.0012,-0.001,0.001,0.056471265627790035,0.005201310607830633,0.0512699550199594,0.008121239193390627,0.04835002643439941,0.008233683550982815,0.04823758207680722
2016-05-31,-0.006521681215901576,-0.0001,0.0045000000000000005,-0.0034000000000000002,-0.0019,-0.0033,0.001,-0.007521681215901576,-0.0022868481635283746,-0.005234833052373201,0.0024644405366961385,-0.009986121752597714,0.0035496914660376935,-0.011071372681939268
2016-06-01,-0.030634647278767635,0.002,0.0064,-0.0021,-0.0028000000000000004,0.0009,0.001,-0.031634647278767636,0.0008581785204424086,-0.03249282579921004,0.005139688155919373,-0.03677433543468701,0.004667090194895486,-0.03630173747366312
2016-06-02,-0.0428894050977231,0.0034999999999999996,0.0024,-0.0055000000000000005,-0.0022,-0.0006,0.001,-0.0438894050977231,0.0031046261518501107,-0.04699403124957321,0.009317191023654452,-0.053206596121377556,0.009035367677786572,-0.05292477277550967
2016-06-03,-0.01886790755296608,-0.0038,-0.0018,-0.0011,0.0054,0.0015,0.001,-0.01986790755296608,-0.00782808565433404,-0.01203982189863204,-0.007934932874993883,-0.011932974677972196,-0.009563224948612586,-0.010304682604353493
2016-06-06,0.0745192197476614,0.006,0.0070999999999999995,0.0034000000000000002,-0.0017000000000000001,-0.0012,0.001,0.0735192197476614,0.0068487055375296155,0.06667051421013179,0.00611968586477537,0.06739953388288603,0.006906083642222638,0.06661313610543876
2016-06-07,0.008948644422301033,0.0012,0.0023,0.001,0.0034999999999999996,0.0022,0.001,0.007948644422301032,-0.0003399268829750329,0.008288571305276065,-0.0007370185130089238,0.008685662935309956,-0.002351202701485952,0.010299847123786985
2016-06-08,-0.011086516230013554,0.0037,0.0042,-0.0008,0.0003,-0.001,0.001,-0.012086516230013555,0.0034041525027044715,-0.015490668732718028,0.005638164581796707,-0.017724680811810264,0.005577834700934831,-0.017664350930948387
2016-06-09,0.01345290185344239,-0.0027,-0.0042,-0.0023,0.0034000000000000002,0.0014000000000000002,0.001,0.012452901853442389,-0.006180690724635059,0.018633592578077448,-0.005954415585391699,0.018407317438834087,-0.00722083459592265,0.01967373644936504
2016-06-10,-0.0442477455993574,-0.0105,-0.0038,-0.0016,0.0018,0.006,0.001,-0.0452477455993574,-0.017862218407955113,-0.02738552719140229,-0.018552293169568315,-0.026695452429789088,-0.021100086105196626,-0.024147659494160777
2016-06-13,0.01851850012202405,-0.0084,-0.0037,0.0011,-0.0022,-0.0004,0.001,0.01751850012202405,-0.014717191723984328,0.03223569184600838,-0.017953086555445075,0.03547158667746912,-0.01672238872159527,0.034240888843619324
2016-06-14,-0.0022727792420651483,-0.0019,0.0015,-0.0072,0.0032,0.0004,0.001,-0.0032727792420651483,-0.004982585321217618,0.0017098060791524696,0.002319951002721269,-0.0055927302447864174,0.0005201240098507906,-0.003792903251915939
2016-06-15,0.006833760984226611,-0.0011,0.0026,-0.0005,-0.0008,0.0005,0.001,0.005833760984226611,-0.0037844799178001765,0.009618240902026787,-0.0026861901097644312,0.008519951093991042,-0.0028805933174176623,0.008714354301644273
