,CAPMcoeff,CAPMtstat,FF3coeff,FF3tstat,FF5coeff,FF5tstat
Intercept,-0.0021370849881011946,-2.299156745899091,-0.0024717106234596366,-2.7733417640259894,-0.0024511670198719892,-2.7600317046329965
MKT,1.4976317542718016,17.89547858614238,1.545391279569809,20.628844711025778,1.513953360718133,20.9551572526074
SMB,,,0.38014992232145767,2.944905693085084,0.3297100236604624,2.392831890125279
HML,,,-0.9941222463724106,-10.312729096454325,-0.85558490815149,-7.617582725720725
RMW,,,,,-0.19991694427480464,-0.995469279679955
CMA,,,,,-0.4180993435370363,-1.4142479421819705
