,longs,percent_diff,shorts
MRNA,False,-0.08246388930098282,True
MRO,True,0.00684701392248585,False
MRVL,False,-0.0703914262666616,True
MS,False,-0.025151930120248075,True
MSCI,False,-0.10822054216813903,True
MSFT,False,-0.03311060306696834,True
MTB,True,0.010488186265367763,False
MTCH,False,-0.14218274868899705,True
MU,False,-0.03339788413290473,True
MUB,False,-0.012049293584717008,True
NCLH,False,-0.06943839937918575,True
NEE,False,-0.09006061030725561,True
NEM,False,-0.06903375966620053,True
NET,False,-0.20843969935087128,True
NFLX,False,-0.3172870223545911,True
NIO,False,-0.1378262476894638,True
NKE,False,-0.056804459900139465,True
NLSN,False,-0.016183374051855562,True
NOC,False,-0.006371390160113516,True
NOW,False,-0.0688665017012487,True
NSC,False,-0.020551973595209765,True
NTR,False,-0.030049609499521776,True
NUE,False,-0.04315577731328551,True
NUGT,False,-0.1559259394021302,True
NVAX,False,-0.08498305004665678,True
NVDA,False,-0.1376003955010179,True
NVS,False,-0.02297179682574077,True
NXPI,True,0.0032714451835697614,False
O,False,-0.03851403837040568,True
ODFL,True,0.011482124167489172,False
OIH,False,-0.04628943732366675,True
OKTA,False,-0.16009411608501598,True
ON,False,-0.020151460556887754,True
ORCL,False,-0.057142983327812785,True
ORLY,False,-0.08621967296505036,True
OVV,False,-0.009544930306125847,True
OXY,True,0.011681622683587302,False
PANW,False,-0.08079493798919146,True
PARA,False,-0.12475614453316093,True
PATH,False,-0.11398331379714538,True
PAYX,False,-0.04932982665746052,True
PBR,False,-0.06103112048106172,True
PCG,True,0.016137588296060632,False
PDD,False,-0.016274509803921776,True
PEG,False,-0.022737718697314602,True
PEP,True,0.00033215786133741385,False
PFE,False,-0.031082768825597712,True
PG,False,-0.0025886825061538004,True
PGR,False,-0.022553829214582828,True
PH,False,-0.012032116106729046,True
PINS,False,-0.04638644191788364,True
PLAN,True,5.81865885200667e-06,False
PLD,False,-0.06710646616605763,True
PLTR,False,-0.17086355986303753,True
PLUG,False,-0.16741620346976585,True
PM,True,0.0026776604538398157,False
PNC,False,-0.04694465370654817,True
PPG,False,-0.0069202450761258845,True
PSA,False,-0.08236148078616663,True
PSQ,True,0.05988459191033685,False
PSX,True,0.04023554646382336,False
PTON,False,-0.21941867362676454,True
PWR,False,-0.0721520268791319,True
PXD,False,-0.006409472090463684,True
PYPL,False,-0.1311749042697597,True
QCOM,False,-0.002488566832392815,True
QID,True,0.11501346460609563,False
QLD,False,-0.13413003295920203,True
QQQ,False,-0.06490283766908818,True
QUAL,False,-0.04223093751667483,True
RBLX,False,-0.21723861651752766,True
RCL,False,-0.0649177260566214,True
REGN,False,-0.058297746329603196,True
RF,False,-0.009490867948925496,True
RH,False,-0.02755199781768803,True
RIO,False,-0.07981532509717325,True
RIVN,False,-0.19744885095574677,True
ROK,False,-0.10569374179936543,True
ROKU,False,-0.1210257027247801,True
ROP,False,-0.02401929705284202,True
ROST,False,-0.0018161969725414655,True
RSP,False,-0.03573902457650352,True
RTX,False,-0.03786370637174981,True
SAIL,True,0.06188193540209495,False
SBAC,False,-0.03143398417567459,True
SBNY,False,-0.08717051511843886,True
SBUX,False,-0.06004197990961478,True
SCHD,False,-0.01926565855680652,True
SCHF,False,-0.0403804919886164,True
SCHP,False,-0.01431241811035092,True
SCHW,False,-0.10103721837306097,True
SCHX,False,-0.04740294037025393,True
SDOW,True,0.07380514277728618,False
SDS,True,0.08315303362759653,False
SE,False,-0.19758692544818926,True
SEDG,False,-0.10605872242178546,True
SH,True,0.0428023800004704,False
SHEL,False,-0.005108700376927633,True
SHOP,False,-0.23045171687658575,True
SHV,False,-0.00013361683885107514,True
SHW,True,0.04682146935668067,False
SHY,False,-0.0013145387907241195,True
SIVB,False,-0.037672635969923145,True
SLB,False,-0.021946185406126507,True
SLV,False,-0.06042783248161518,True
SMH,False,-0.04844686104736234,True
SNAP,False,-0.14712720890169767,True
SNOW,False,-0.13622400969702145,True
SNPS,False,-0.06364681525557087,True
SO,False,-0.008053228738338193,True
SOFI,False,-0.1512768752038504,True
SOXL,False,-0.16829176252906347,True
SOXS,True,0.07957275987707564,False
SOXX,False,-0.04677258259710277,True
SPDW,False,-0.041874666694551164,True
SPG,False,-0.045755328654869025,True
SPGI,False,-0.0730255636469353,True
SPIB,False,-0.01172733179994446,True
SPLG,False,-0.04515830188934429,True
SPLK,False,-0.11274747859590184,True
SPLV,False,-0.025497025552507255,True
SPOT,False,-0.17695905567474676,True
SPXL,False,-0.14322359521926928,True
SPXS,True,0.12010902694323988,False
SPXU,True,0.12122674017918685,False
SPY,False,-0.04527392504610943,True
SQ,False,-0.15093015953708827,True
SQQQ,True,0.1642342806778308,False
SRE,False,-0.024478258254645682,True
SRLN,False,-0.010440151333451955,True
SSO,False,-0.09335219478738019,True
STT,False,-0.09953619183894996,True
STZ,True,0.013140279497113615,False
SU,True,0.05871051642333907,False
SVXY,False,-0.07763040913252288,True
SWK,False,-0.07589254054930249,True
SWKS,False,-0.07172366967409322,True
SWN,False,-0.03280343520168129,True
SYF,True,0.010365516478654961,False
SYK,False,-0.06385614729415828,True
SYY,False,-0.0017279071552973805,True
T,False,-0.06836997425232721,True
TD,False,-0.04012745569997482,True
TDOC,False,-0.34916860546772427,True
TEAM,False,-0.14871762388701382,True
TECK,False,-0.01287787182587632,True
TFC,False,-0.05781582606747205,True
TGT,False,-0.0016476164761648098,True
TIP,False,-0.01513981873662139,True
TJX,False,-0.01596633063845381,True
TLRY,False,-0.17320796331766172,True
TLT,False,-0.04194993797799831,True
TMO,False,-0.04339184854676201,True
TMUS,False,-0.01926307781519494,True
TNA,False,-0.1627562307387374,True
TQQQ,False,-0.20674473067915652,True
TROW,False,-0.08683820541033498,True
TRV,False,-0.03145985401459843,True
TSCO,False,-0.06326942657837999,True
TSLA,False,-0.10714486951364181,True
TSM,False,-0.055208211827831886,True
TT,False,-0.05522729775900994,True
TTD,False,-0.12312340481228598,True
TTWO,False,-0.12332667935803307,True
TWLO,False,-0.17306264329937876,True
TWTR,True,0.036369480258592504,False
TXN,False,-0.026203887252773256,True
TZA,True,0.14168028958430617,False
U,False,-0.2291112858495673,True
UAL,True,0.044329123972773735,False
UBER,False,-0.10828463539116151,True
UDOW,False,-0.09153885609115875,True
ULTA,False,-0.014895603448422856,True
UNG,True,0.10495417101751967,False
UNH,False,-0.0314723397013603,True
UNP,False,-0.04658462593050018,True
UPRO,False,-0.14325678625226687,True
UPS,False,-0.048728045356410433,True
UPST,False,-0.11973946239521438,True
URI,False,-0.05725129687339181,True
USB,False,-0.0390861447317273,True
USMV,False,-0.03699149774049277,True
USO,True,0.01896301831079716,False
UVXY,True,0.17542697153523126,False
V,False,-0.02922368321388792,True
VALE,False,-0.1133295389869092,True
VCIT,False,-0.019789188762822953,True
VCSH,False,-0.005303850144478104,True
VEA,False,-0.04151608408283096,True
VERU,True,0.08318907120276978,False
VEU,False,-0.040283365618635915,True
VGK,False,-0.04392892229660231,True
VGT,False,-0.050390077641865205,True
VICI,True,0.005400756793945896,False
VIG,False,-0.029017295119685402,True
VIXY,True,0.12643466459868138,False
VLO,True,0.1004225053011262,False
VMBS,False,-0.012966097493608239,True
VNQ,False,-0.048486274307592156,True
VO,False,-0.04633520183589786,True
VOO,False,-0.045257421621841314,True
VRSK,False,-0.06400717901214102,True
VRTX,False,-0.031536969064037454,True
VT,False,-0.044968932644838824,True
VTEB,False,-0.013690622356825397,True
VTI,False,-0.04758576612890456,True
VTIP,False,-0.0020002314767537917,True
VTV,False,-0.02708302819263814,True
VUG,False,-0.0667055775564391,True
VWO,False,-0.04193323792209796,True
VXUS,False,-0.041183757742601454,True
VYM,False,-0.021224836374454707,True
VZ,False,-0.06266252655220453,True
W,False,-0.20798963786496819,True
WBA,False,-0.02297320269518448,True
WBD,False,-0.11053823543584079,True
WDAY,False,-0.0843356359525692,True
WDC,True,0.10107811133585677,False
WELL,False,-0.046017375934440094,True
WFC,False,-0.05270468320776551,True
WHR,True,0.04669812854735238,False
WM,True,0.006018326054627109,False
WMB,True,0.015485297633277866,False
WMT,False,-0.008340413702812872,True
X,False,-0.13536860684672847,True
XBI,False,-0.11436937948705127,True
XEL,False,-0.005777900536967262,True
XHB,False,-0.00732333929308195,True
XLB,False,-0.024786784813934048,True
XLC,False,-0.07123636091607609,True
XLE,True,0.003977842679473574,False
XLF,False,-0.04915705746693615,True
XLI,False,-0.03266962680012821,True
XLK,False,-0.04418624598657725,True
XLP,False,-0.006222724352584189,True
XLRE,False,-0.04977118759743375,True
XLU,False,-0.032348686750294633,True
XLV,False,-0.03825784025402807,True
XLY,False,-0.0712527129947515,True
XME,False,-0.0695059407778705,True
XOM,True,0.020810734690593125,False
XOP,False,-0.013380803735773234,True
XPEV,False,-0.08530465949820784,True
XRT,False,-0.04613576501957998,True
YUM,False,-0.028599445301892915,True
Z,False,-0.1150340540293459,True
ZEN,False,-0.036675795960287506,True
ZIM,False,-0.0006412841587478704,True
ZM,False,-0.07357214701680442,True
ZNGA,False,-0.06193994468589498,True
ZS,False,-0.11550199161191198,True
ZTS,False,-0.05565618019008997,True
