,period_open,period_close,long_value,short_value,returns,long_exposure,pnl,short_exposure,capital_used,orders,transactions,gross_leverage,positions,net_leverage,starting_exposure,ending_exposure,starting_value,ending_value,starting_cash,ending_cash,portfolio_value,longs_count,shorts_count,price,algorithm_period_return,algo_volatility,benchmark_period_return,benchmark_volatility,alpha,beta,sharpe,sortino,max_drawdown,max_leverage,excess_return,treasury_period_return,trading_days,period_label
2012-01-03 21:00:00+00:00,2012-01-03 14:31:00+00:00,2012-01-03 21:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[{'id': 'c715b31d29dc44bba3419018c52d5895', 'dt': Timestamp('2012-01-03 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2012-01-03 21:00:00+0000', tz='UTC'), 'amount': 2, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(39 [AAPL]), 'status': 0}]",[],0.0,[],0.0,0.0,0.0,0.0,0.0,300.0,300.0,300.0,0,0,14.687000000000001,0.0,,0.0,,,,,,0.0,0.0,0.0,0.0,1,2012-01
2012-01-04 21:00:00+00:00,2012-01-04 14:31:00+00:00,2012-01-04 21:00:00+00:00,29.532,0.0,-5.5886666666782325e-05,29.532,-0.016766000000018266,0.0,-29.548766,"[{'id': 'c715b31d29dc44bba3419018c52d5895', 'dt': Timestamp('2012-01-04 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2012-01-03 21:00:00+0000', tz='UTC'), 'amount': 2, 'filled': 2, 'commission': 0.002, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(39 [AAPL]), 'status': 1}]","[{'amount': 2, 'dt': Timestamp('2012-01-04 21:00:00+0000', tz='UTC'), 'price': 14.773383, 'order_id': 'c715b31d29dc44bba3419018c52d5895', 'sid': Equity(39 [AAPL]), 'commission': None}]",0.09844550179094343,"[{'sid': Equity(39 [AAPL]), 'amount': 2, 'cost_basis': 14.774383, 'last_sale_price': 14.766}]",0.09844550179094343,0.0,29.532,0.0,29.532,300.0,270.451234,299.983234,1,0,14.766,-5.5886666666782325e-05,0.0006273262774678174,0.00018793165552133395,0.0021095276012701647,0.0,-0.2973776105560784,-11.224972160321824,-11.224972160321823,-5.588666666682229e-05,0.09844550179094343,0.0,0.0,2,2012-01
2012-01-05 21:00:00+00:00,2012-01-05 14:31:00+00:00,2012-01-05 21:00:00+00:00,29.86,0.0,0.0010933944395039585,29.86,0.3280000000000314,0.0,0.0,[],[],0.09943017982470811,"[{'sid': Equity(39 [AAPL]), 'amount': 2, 'cost_basis': 14.774383, 'last_sale_price': 14.93}]",0.09943017982470811,29.532,29.86,29.532,29.86,270.451234,270.451234,300.311234,1,0,14.93,0.0010374466666664972,0.010286799054891388,0.003132194258687937,0.026160892091677435,-0.015645219526425724,0.3912411591598621,8.472086647486572,170.14641189746754,-5.588666666682229e-05,0.09943017982470811,0.0,0.0,3,2012-01
2012-01-06 21:00:00+00:00,2012-01-06 14:31:00+00:00,2012-01-06 21:00:00+00:00,30.172,0.0,0.0010389221736539778,30.172,0.3120000000000118,0.0,0.0,[],[],0.10036483075024068,"[{'sid': Equity(39 [AAPL]), 'amount': 2, 'cost_basis': 14.774383, 'last_sale_price': 15.086}]",0.10036483075024068,29.86,30.172,29.86,30.172,270.451234,270.451234,300.623234,1,0,15.086,0.002077446666666427,0.010040354000501323,0.0005872864235039188,0.03555382591808617,0.13897064961116445,0.017524955292504144,13.02893171121367,294.90310914506983,-5.588666666682229e-05,0.10036483075024068,0.0,0.0,4,2012-01
2012-01-09 21:00:00+00:00,2012-01-09 14:31:00+00:00,2012-01-09 21:00:00+00:00,30.124000000000002,0.0,-0.00015966829762725787,30.124000000000002,-0.04800000000000182,0.0,0.0,[],[],0.10022116459535052,"[{'sid': Equity(39 [AAPL]), 'amount': 2, 'cost_basis': 14.774383, 'last_sale_price': 15.062000000000001}]",0.10022116459535052,30.172,30.124000000000002,30.172,30.124000000000002,270.451234,270.451234,300.575234,1,0,15.062000000000001,0.001917446666666489,0.009941209897787299,0.002850296775406047,0.03425029730822528,0.10895224355178312,-0.04745798070074008,9.717608630740465,80.43946378010074,-0.00015966829762723331,0.10036483075024068,0.0,0.0,5,2012-01
2012-01-10 21:00:00+00:00,2012-01-10 14:31:00+00:00,2012-01-10 21:00:00+00:00,30.232,0.0,0.0003593110402433375,30.232,0.10799999999994725,0.0,0.0,[],[],0.10054434894098552,"[{'sid': Equity(39 [AAPL]), 'amount': 2, 'cost_basis': 14.774383, 'last_sale_price': 15.116}]",0.10054434894098552,30.124000000000002,30.232,30.124000000000002,30.232,270.451234,270.451234,300.68323399999997,1,0,15.116,0.002277446666666183,0.008893053395588343,0.01176138944137306,0.061983544857243576,0.10779213590786463,-0.01377764094247021,10.749407283433891,87.19599949654972,-0.00015966829762723331,0.10054434894098552,0.0,0.0,6,2012-01
2012-01-11 21:00:00+00:00,2012-01-11 14:31:00+00:00,2012-01-11 21:00:00+00:00,30.182000000000002,0.0,-0.0001662879547182916,30.182000000000002,-0.049999999999954525,0.0,0.0,[],[],0.10039475542481109,"[{'sid': Equity(39 [AAPL]), 'amount': 2, 'cost_basis': 14.774383, 'last_sale_price': 15.091000000000001}]",0.10039475542481109,30.232,30.182000000000002,30.232,30.182000000000002,270.451234,270.451234,300.633234,1,0,15.091000000000001,0.0021107799999997567,0.008753462253325864,0.012074608867241876,0.057439878471849566,0.08056659506976449,-0.0035614879185092707,8.676823894356085,53.36480396753579,-0.00016628795471833506,0.10054434894098552,0.0,0.0,7,2012-01
2012-01-12 21:00:00+00:00,2012-01-12 14:31:00+00:00,2012-01-12 21:00:00+00:00,30.1,0.0,-0.0002727576020421507,30.1,-0.08199999999999363,0.0,0.0,[],[],0.10014931430958623,"[{'sid': Equity(39 [AAPL]), 'amount': 2, 'cost_basis': 14.774383, 'last_sale_price': 15.05}]",0.10014931430958623,30.182000000000002,30.1,30.182000000000002,30.1,270.451234,270.451234,300.551234,1,0,15.05,0.001837446666666409,0.00872129916803897,0.014439415532551125,0.05329086630545958,0.06315533790652572,-0.007462650647806551,6.635061308410028,28.52266389264429,-0.00043900020045663143,0.10054434894098552,0.0,0.0,8,2012-01
2012-01-13 21:00:00+00:00,2012-01-13 14:31:00+00:00,2012-01-13 21:00:00+00:00,29.986,0.0,-0.0003793030508735251,29.986,-0.11400000000003274,0.0,0.0,[],[],0.0998078686878072,"[{'sid': Equity(39 [AAPL]), 'amount': 2, 'cost_basis': 14.774383, 'last_sale_price': 14.993}]",0.0998078686878072,30.1,29.986,30.1,29.986,270.451234,270.451234,300.437234,1,0,14.993,0.0014574466666663621,0.008771303028907487,0.009420074233003506,0.061313369261443824,0.03461556271746713,0.02566497713646998,4.653387774511233,14.721576208618421,-0.0008181367372148891,0.10054434894098552,0.0,0.0,9,2012-01
2012-01-17 21:00:00+00:00,2012-01-17 14:31:00+00:00,2012-01-17 21:00:00+00:00,30.336000000000002,0.0,0.0011649687867916203,30.336000000000002,0.35000000000002274,0.0,0.0,[],[],0.10085534414668676,"[{'sid': Equity(39 [AAPL]), 'amount': 2, 'cost_basis': 14.774383, 'last_sale_price': 15.168000000000001}]",0.10085534414668676,29.986,30.336000000000002,29.986,30.336000000000002,270.451234,270.451234,300.787234,1,0,15.168000000000001,0.0026241133333331224,0.009681876786758838,0.013006436659201315,0.059157631771143596,0.05352419184171575,0.04259079261606873,6.826348004207606,25.12740693586856,-0.0008181367372148891,0.10085534414668676,0.0,0.0,10,2012-01
